Sample Type / Type d'échantillon,Month/Mois,Year/Année,Location/Emplacement,Volume Collected/Volume prélevé (L),Activity/Activité (Bq/L),Error/Erreur (Bq/L),Activity/Activité (Bq/m^3),Error/Erreur (Bq/m^3),Comments/Commentaires
Vapour/Vapeur,1,2000,GE2,0.01,44,4,0.098,0.008,
Vapour/Vapeur,1,2000,GE3,0.01,15,3,0.045,0.009,
Vapour/Vapeur,1,2000,GE6,0.01,76,4,0.139,0.008,
Vapour/Vapeur,1,2000,GE7,0.01,313,7,0.812,0.019,
Vapour/Vapeur,1,2000,LE1,0.02,13,3,0.047,0.012,
Vapour/Vapeur,1,2000,LE2,0.02,13,3,0.053,0.012,
Vapour/Vapeur,1,2000,LE3,0,9,3,0.008,0.003,
Vapour/Vapeur,1,2000,LE4,0.01,4,3,0.006,0.004,
Vapour/Vapeur,1,2000,LE7,0.02,2,3,0.008,0.015,
Vapour/Vapeur,1,2000,LE8,0.02,18,3,0.057,0.01,
Vapour/Vapeur,1,2000,OA2,0.02,27,3,0.079,0.01,
Vapour/Vapeur,1,2000,PI12,0.01,40,4,0.116,0.011,
Vapour/Vapeur,2,2000,GE2,0.02,57,4,0.181,0.013,
Vapour/Vapeur,2,2000,GE3,0.02,22,3,0.068,0.01,
Vapour/Vapeur,2,2000,GE4,0.01,71,4,0.161,0.01,
Vapour/Vapeur,2,2000,GE6,0.01,74,4,0.166,0.01,
Vapour/Vapeur,2,2000,GE7,0.02,279,7,0.832,0.021,
Vapour/Vapeur,2,2000,LE1,0.02,39,4,0.159,0.015,
Vapour/Vapeur,2,2000,LE2,0.02,59,4,0.259,0.018,
Vapour/Vapeur,2,2000,LE3,0.02,2,3,0.009,0.013,
Vapour/Vapeur,2,2000,LE4,0.02,-2,3,-0.009,0.01,
Vapour/Vapeur,2,2000,LE7,0.02,-2,3,-0.01,0.013,
Vapour/Vapeur,2,2000,LE8,0.02,-2,3,-0.007,0.01,
Vapour/Vapeur,2,2000,OA2,0.01,16,3,0.04,0.008,
Vapour/Vapeur,2,2000,PI12,0.01,57,4,0.134,0.009,
Vapour/Vapeur,3,2000,GE2,0.02,28,3,0.118,0.014,
Vapour/Vapeur,3,2000,GE3,0.02,11,3,0.048,0.013,
Vapour/Vapeur,3,2000,GE4,0.02,60,4,0.204,0.014,
Vapour/Vapeur,3,2000,GE6,0.01,166,6,0.527,0.018,
Vapour/Vapeur,3,2000,GE7,0.02,340,8,1.47,0.033,
Vapour/Vapeur,3,2000,LE1,0.02,27,3,0.12,0.015,
Vapour/Vapeur,3,2000,LE2,0.02,70,4,0.304,0.018,
Vapour/Vapeur,3,2000,LE3,0.01,9,3,0.016,0.005,
Vapour/Vapeur,3,2000,LE4,0.02,2,3,0.007,0.012,
Vapour/Vapeur,3,2000,LE7,0.02,0,3,0,0.011,
Vapour/Vapeur,3,2000,LE8,0.02,1,3,0.003,0.012,
Vapour/Vapeur,3,2000,OA2,0.02,5,3,0.02,0.011,
Vapour/Vapeur,3,2000,PI12,0.02,73,4,0.288,0.017,
Vapour/Vapeur,4,2000,GE2,0.02,44,4,0.145,0.012,
Vapour/Vapeur,4,2000,GE3,0.02,18,3,0.062,0.011,
Vapour/Vapeur,4,2000,GE4,0.02,65,4,0.601,0.038,
Vapour/Vapeur,4,2000,GE6,0.02,56,4,0.185,0.013,
Vapour/Vapeur,4,2000,GE7,0.02,426,8,1.51,0.029,
Vapour/Vapeur,4,2000,LE1,0.02,15,3,0.059,0.012,
Vapour/Vapeur,4,2000,LE2,0.02,49,4,0.2,0.016,
Vapour/Vapeur,4,2000,LE3,0.02,4,3,0.017,0.012,
Vapour/Vapeur,4,2000,LE4,0,6,4,0.006,0.004,
Vapour/Vapeur,4,2000,LE7,0.02,-2,3,-0.006,0.011,
Vapour/Vapeur,4,2000,LE8,0.02,4,3,0.019,0.012,
Vapour/Vapeur,4,2000,OA2,0.02,4,3,0.016,0.011,
Vapour/Vapeur,4,2000,PI12,0.02,52,4,0.223,0.017,
Vapour/Vapeur,5,2000,GE2,0.01,30,3,0.225,0.024,
Vapour/Vapeur,5,2000,GE3,0.02,19,3,0.17,0.027,
Vapour/Vapeur,5,2000,GE4,0.02,23,3,0.233,0.032,
Vapour/Vapeur,5,2000,GE6,0.02,40,3,0.356,0.031,
Vapour/Vapeur,5,2000,GE7,0.02,268,7,2.55,0.064,
Vapour/Vapeur,5,2000,LE1,0.02,35,3,0.358,0.035,
Vapour/Vapeur,5,2000,LE2,0.02,64,4,0.658,0.041,
Vapour/Vapeur,5,2000,LE3,0.01,13,3,0.062,0.014,
Vapour/Vapeur,5,2000,LE4,0.02,8,3,0.084,0.028,
Vapour/Vapeur,5,2000,LE7,0.02,3,3,0.032,0.032,
Vapour/Vapeur,5,2000,LE8,0.02,5,3,0.041,0.02,
Vapour/Vapeur,5,2000,OA2,0.02,3,3,,,
Vapour/Vapeur,5,2000,PI12,0.02,30,3,0.276,0.03,
Vapour/Vapeur,6,2000,GE2,0.02,29,3,0.3,0.033,
Vapour/Vapeur,6,2000,GE3,0.02,19,3,0.199,0.031,
Vapour/Vapeur,6,2000,GE4,0.02,10,3,0.091,0.026,
Vapour/Vapeur,6,2000,GE6,0.02,23,3,0.246,0.033,
Vapour/Vapeur,6,2000,GE7,0.02,138,5,1.51,0.056,
Vapour/Vapeur,6,2000,LE1,0.02,31,3,0.311,0.033,
Vapour/Vapeur,6,2000,LE2,0.02,102,5,0.997,0.045,
Vapour/Vapeur,6,2000,LE3,0.01,10,3,0.065,0.018,
Vapour/Vapeur,6,2000,LE4,0.02,11,3,0.11,0.028,
Vapour/Vapeur,6,2000,LE7,0.02,5,3,0.045,0.024,
Vapour/Vapeur,6,2000,LE8,0.02,2,3,0.022,0.026,
Vapour/Vapeur,6,2000,OA2,0.02,7,3,0.068,0.027,
Vapour/Vapeur,6,2000,PI12,0.02,35,3,0.339,0.033,
Vapour/Vapeur,7,2000,GE2,0.02,22,3,0.182,0.026,
Vapour/Vapeur,7,2000,GE3,0.02,15,3,0.126,0.024,
Vapour/Vapeur,7,2000,GE4,0.02,7,3,0.073,0.027,
Vapour/Vapeur,7,2000,GE6,0.02,22,3,0.183,0.025,
Vapour/Vapeur,7,2000,GE7,0.02,42,4,0.368,0.031,
Vapour/Vapeur,7,2000,LE1,0.02,77,4,0.756,0.041,
