RESPID,L,Q26,Q27,Q35A,Q33,Q34_1,Q34_2,Q34_3,Q34_4,Q34_5,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q3,Q4,Q4_98_OTHER,Q4_98_OTHER_CODED,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7_1,Q7_2,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q10_12,Q10_13,Q10_14,Q10_15,Q10_98,Q10_98_OTHER,Q10_98_OTHER_CODED,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q11_14,Q11_15,Q12_1,Q12_2,Q12_3,Q13_1,Q13_CODED,Q13DK_97,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q21_98_OTHER,Q21_98_OTHER_CODED,Q42,Q22_1,Q22_CODED,Q22DK_97,Q23_1,Q23_CODED,Q23DK_97,Q24,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q28,Q29_1,Q29_2,Q29_98,Q30,Q31,Q32,Q35_35,Q35_36,Q35_37,Q35_38,Q35_39,OQ40,OQ41
3646,English,Female,50-54,Nova Scotia,1,0,0,0,0,1,I am the person who is most responsible for grocery shopping,To a great extent 7,To a great extent 7,6,6,6,To a great extent 7,To some extent 4,Sometimes,,,,Neither important nor unimportant,0,0,1,0,0,Neither Confident Nor Unsure,Neither Confident Nor Unsure,Often,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Very easy to understand,Very easy to understand,Very easy to understand,Very easy to understand,Very easy to understand,Neither easy nor difficult to understand,Very easy to understand,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,False,True,True,1/2 cup,1/2 Cup/28 grams,0,The amount of food contains 28% of the daily recommended amo,28% Daily Value is a moderate amount of fibre,4%,Easy,Product B has a higher fat content,Product A has a moderate amount of fibre/Product B has a lit,Product B,Other information (Please specify):,per crackers,Other,,,,1,2,Two servings,0,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Some high school,1,0,0,"Not in the workforce (e.g. full-time homemaker, not employed","$20,000 to just under $ 40,000",No,,,,,,,
2648,English,Male,30-34,Ontario,2,0,1,0,0,0,I am the person who is most responsible for grocery shopping,To a great extent 7,5,3,To a great extent 7,To some extent 4,To a great extent 7,To some extent 4,Sometimes,,,,Neither important nor unimportant,1,0,0,0,0,Neither Confident Nor Unsure,Neither Confident Nor Unsure,Always,Always,Always,Always,Always,Always,Always,Somewhat easy to understand,Somewhat easy to understand,Very easy to understand,Neither easy nor difficult to understand,Somewhat easy to understand,Somewhat easy to understand,Very easy to understand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,dairey,Other,,,,,,,,,,,,,,,,,,,,,1,I don’t know,I don’t know,I don’t know,Neither difficult nor easy,I don’t know,I don’t know,I don’t know,Don’t know/Made an educated guess,,,,,,1,,,1,Not very useful,Very useful,Very useful,Fairly useful,Not at all useful,Not very useful,Not at all useful,"Graduated vocational, technical, college or CEGEP",1,0,1,Self-employed,"Under $20,000",No,,,,,,,
2601,English,Female,50-54,Alberta,1,0,0,0,0,1,I am the person who is most responsible for grocery shopping,Not at all 1,Not at all 1,Not at all 1,Not at all 1,Not at all 1,Not at all 1,Not at all 1,Never,Other (Please specify):,dont buy prepackaged,Other,Not very important,,,,,,Neither Confident Nor Unsure,Neither Confident Nor Unsure,,,,,,,,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I don’t know,I don’t know,I don’t know,1/2 cup,1/2 Cup/28 grams,0,This food product is made up of 28% fibre,28% Daily Value is a lot of fibre,4%,Easy,I don’t know,I don’t know,I don’t know,Don’t know/Made an educated guess,,,,,,1,,,1,Fairly useful,Very useful,Very useful,Fairly useful,Not at all useful,Fairly useful,Not at all useful,"Some vocational, technical, college or CEGEP",1,0,0,"Working full-time, that is, 35 or more hours per week","$40,000 to just under $ 60,000",No,,,,,,,
919,English,Female,19-24,Ontario,1,0,0,0,0,1,I am the person who is most responsible for grocery shopping,6,6,6,6,6,6,6,Always,,,,Very important,1,1,0,0,0,Confident,Confident,Sometimes,Often,Sometimes,Often,Always,Always,Always,Somewhat easy to understand,Somewhat easy to understand,Somewhat easy to understand,Somewhat easy to understand,Somewhat easy to understand,Somewhat easy to understand,Somewhat easy to understand,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,,,,,Both,Both,,,,,Both,,,,,,,True,True,True,,,1,This food product is made up of 28% fibre,28% Daily Value is a little of fibre,8%,Easy,Product A has a higher fat content,There is a little of fibre in both products,Product A,Actual amount of sodium in milligrams (mg),,,,,,1,,,1,Fairly useful,Fairly useful,Fairly useful,Fairly useful,Fairly useful,Fairly useful,Fairly useful,Graduated high school,1,0,0,A student attending school full-time,"$20,000 to just under $ 40,000",No,,,,,,,
1043,English,Male,35-39,Ontario,1,0,0,1,0,0,I am the person who is most responsible for grocery shopping,To a great extent 7,To a great extent 7,To a great extent 7,To a great extent 7,To a great extent 7,To a great extent 7,To a great extent 7,Often,,,,Somewhat important,0,1,0,0,0,Neither Confident Nor Unsure,Neither Confident Nor Unsure,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Somewhat easy to understand,Somewhat easy to understand,Neither easy nor difficult to understand,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Both,Both,,,,,,,,,,,,False,True,True,,,1,The amount of food contains 28% of the daily recommended amo,28% Daily Value is a moderate amount of fibre,8%,Difficult,Product B has a higher fat content,There is a little of fibre in both products,I don’t know,% Daily Value of sodium,,,,,,1,,,1,Fairly useful,Fairly useful,Fairly useful,Fairly useful,Fairly useful,Fairly useful,Fairly useful,Graduated university,1,0,0,"Working full-time, that is, 35 or more hours per week","$100,000 to just under $150,000",No,,,,,,,
1265,French (Canada),Female,35-39,Quebec,1,0,0,0,0,1,I am the person who is most responsible for grocery shopping,To some extent 4,To some extent 4,To some extent 4,To some extent 4,To some extent 4,To some extent 4,To some extent 4,Sometimes,,,,Neither important nor unimportant,0,1,0,0,0,Neither Confident Nor Unsure,Neither Confident Nor Unsure,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,,,,,,% Daily Value,,,Both,Weight (grams or milligrams),,,,,,,,True,True,False,,,1,This food product is made up of 28% fibre,28% Daily Value is a lot of fibre,8%,Difficult,Products A and B have the same fat content,Product A has a little of fibre/Product B has a moderate amo,I don’t know,% Daily Value of sodium,,,,,,1,,,1,Fairly useful,Not very useful,Fairly useful,Fairly useful,Not very useful,Fairly useful,Fairly useful,"Graduated vocational, technical, college or CEGEP",0,1,0,"Unemployed, but looking for work","$40,000 to just under $ 60,000",Yes,,,,,,,
2163,English,Male,35-39,British Columbia,2,0,0,0,1,1,I am the person who is most responsible for grocery shopping,To a great extent 7,To a great extent 7,6,6,6,To a great extent 7,To a great extent 7,Always,,,,Very important,0,1,1,0,0,Confident,Confident,Always,Always,Often,Often,Often,Always,Always,Neither easy nor difficult to understand,Somewhat easy to understand,Somewhat easy to understand,Somewhat easy to understand,Somewhat easy to understand,Somewhat easy to understand,Neither easy nor difficult to understand,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Weight (grams or milligrams),Both,,,,,,,,,,,,True,True,True,,,1,The amount of food contains 28% of the maximum amount of fib,28% Daily Value is a little of fibre,12%,Easy,Products A and B have the same fat content,Product A has a lot of fibre/Product B has a little of fibre,Product A,Both the actual amount of sodium in mg and the % Daily Value,,,,,,1,,,1,Fairly useful,Fairly useful,Very useful,Very useful,Fairly useful,Very useful,Fairly useful,Graduated university,1,0,0,"Working full-time, that is, 35 or more hours per week","$150,000 and above",Yes,,,,,,,
4032,English,Male,19-24,Ontario,1,0,0,1,0,0,I am the person who is most responsible for grocery shopping,6,To some extent 4,5,3,To some extent 4,5,3,Often,,,,Neither important nor unimportant,1,0,1,0,1,Neither Confident Nor Unsure,Confident,Often,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Somewhat easy to understand,Somewhat easy to understand,Neither easy nor difficult to understand,Somewhat difficult to understand,Somewhat difficult to understand,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,,,,,,% Daily Value,,,,% Daily Value,Both,,,,,,,False,True,I don’t know,,,1,The amount of food contains 28% of the daily recommended amo,28% Daily Value is a lot of fibre,12%,Neither difficult nor easy,Product A has a higher fat content,There is a little of fibre in both products,I don’t know,% Daily Value of sodium,,,,,,1,,,1,Fairly useful,Very useful,Fairly useful,Not very useful,Not at all useful,Fairly useful,Not very useful,Graduated high school,1,0,0,Self-employed,"$60,000 to just under $ 80,000",Yes,,,,,,,
5406,English,Male,45-49,British Columbia,2,0,1,0,0,1,I am the person who is most responsible for grocery shopping,To a great extent 7,5,6,6,6,5,To some extent 4,Always,,,,Somewhat important,1,1,0,1,0,Neither Confident Nor Unsure,Confident,Often,Rarely,Sometimes,Sometimes,Often,Often,Often,Somewhat easy to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Somewhat easy to understand,Neither easy nor difficult to understand,Somewhat easy to understand,Somewhat easy to understand,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,,,,,% Daily Value,% Daily Value,,,,,Weight (grams or milligrams),,,,,,,False,I don’t know,True,,,1,This food product is made up of 28% fibre,28% Daily Value is a moderate amount of fibre,I don’t know,Difficult,Product B has a higher fat content,Product A has a little of fibre/Product B has a lot of fibre,Product B,Both the actual amount of sodium in mg and the % Daily Value,,,,,,1,,,1,Fairly useful,Not very useful,Not at all useful,Fairly useful,Not very useful,Fairly useful,Not very useful,Some university,1,0,0,"Working full-time, that is, 35 or more hours per week","$20,000 to just under $ 40,000",No,,,,,,,
1832,English,Male,60-64,Manitoba,2,0,1,1,0,0,I am the person who is most responsible for meal preparation,5,5,5,To a great extent 7,5,To a great extent 7,5,Sometimes,,,,Neither important nor unimportant,0,1,1,0,0,Neither Confident Nor Unsure,Neither Confident Nor Unsure,Often,Sometimes,Sometimes,Often,Often,Sometimes,Always,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,Both,,,Both,,,,,,,,,I don’t know,I don’t know,I don’t know,1/2 cup,1/2 Cup/28 grams,0,The amount of food contains 28% of the maximum amount of fib,I don’t know,I don’t know,Neither difficult nor easy,I don’t know,I don’t know,I don’t know,Don’t know/Made an educated guess,,,,,,1,,,1,Not very useful,Not at all useful,Not at all useful,Not at all useful,Not very useful,Not very useful,Fairly useful,Graduated university,1,0,0,"Working full-time, that is, 35 or more hours per week","$100,000 to just under $150,000",No,,,,,,,
