RESPONSEID,RESPID,WEIGHT,STATUS,INTERVIEW_START,INTERVIEW_END,HCMA,HISTORONTO,HISMONTREAL,HISVANCOUVER,L,QINTRO_1,SQA,SQB,SQC,HREGION,SQD,SQE,QN1A,ON1B,QN1B_R1,QN1B_R2,QN1B_R3,QN1B_R4,QN1B_R5,QN1C_1,QN1C_2,QN1C_3,QN1C_4,QN1C_5,QN1C_6,QN1C_7,QN1C_8,QN1C_9,QN1C_10,QN1C_11,QN1C_12,QN1C_13,QN1C_98,QN1C_98_R1,QN1C_98_OTHER,QN2,QN3,QN4,QN5,QN6A,QN7,HSEENAD,QN8,QN8_R1,QN9A,QN9B,QN9B_R1,QN10_1,QN10_2,QN10_3,QN11,QN11_R1,ON11_98_OTHER,QN12,QN12_R1,QN12_98_OTHER,QN13_1,QN13_2,QN13_3,QN13_4,QN13_5,QN13_6,QN13_7,QN13_8,QN13_9,QN13_10,QN13_11,QN14,QN15A,QN15B,QN16_1,QN16_2,QN16_3,QN16_4,QN17,QN17_R1,QN17_R2,QN17_R3,QN17_R4,QN17_R5,QN18_R1,QN18_R2,QN18_R3,QN18_R4,QN18_R5,QN18_R6,QN18_R7,QN18,QN19_1,QN19_2,QN19_3,QN19_4,QN20A,QN20B_R1,QN20B_R2,QN20B_R3,QN20B_R4,QN20B_R5,QN20B,QN21_1,QN21_2,QN21_3,QN21_4,QN21_5,QN21_6,QN21_7,QN21_8,QN21_9,QN21_10,QN22_1,QN22_2,QN22_3,QN22_4,QN22_5,QN22_6,QN22_7,QN22_8,QN22_9,QN22_10,QN23_1,QN23_2,QN24_1,QN24_2,QN24_3,QN24_4,QN24_5,QN24_6,QN24_7,QN24_8,QN25_1,QN25_2,QN26_1,QN26_2,QN26_3,QN26_4,QN26_5,QN26_6,QN26_7,QN26_8,QN27A,QN27B_R1,QN27B_R2,QN27B_R3,QN27B_R4,QN27B_R5,QN27B,QN27C,QN28_1,QN28_2,QN28_3,QN29,QN30,QN31,QN32,QN33,QN34,QN35,DUSseg1,CONTseg2,ACTseg3,DrugUseSegs,PrimaryFirst
11,12,1.018072000000,Complete,18-Mar-2011 16:30:57,18-Mar-2011 16:45:35,#NULL!,No,No,No,English,Win32,14,Male,Quebec,Quebec,You live with two parents,Yes,Yes,"horror, trouble",Other,#NULL!,#NULL!,#NULL!,#NULL!,1,0,0,0,0,0,0,0,0,0,1,0,0,0,#NULL!,,Yes,Yes,Yes,No,No,No,Yes,Drugs can controle you,Drug's are addictive/dangerous/don't start,No,,#NULL!,No,No,No,No,#NULL!,,Government of Canada/federal government,#NULL!,,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Yes,1,Yes,2,6,6,6,No,None,#NULL!,#NULL!,#NULL!,#NULL!,Smoking,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Smocking,Very likely,Not at all likely,Not at all likely,Not at all likely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhatserious,Veryserious,Verylikely,Verylikely,Not verylikely,Somewhatlikely,Verylikely,Verylikely,Verylikely,Verylikely,Somewhatserious,Veryserious,Verylikely,Verylikely,Somewhatlikely,Somewhatlikely,Verylikely,Verylikely,Verylikely,Verylikely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,Not at alllikely,Not at alllikely,Somewhatlikely,Strongly agree,"Yes, in school full-time",A (80% to 100%),Completed university (Bachelor,Zero,No,No,121,119,100,Inactive,Primary Case
12,13,0.860243000000,Complete,18-Mar-2011 16:49:10,18-Mar-2011 16:58:48,#NULL!,No,No,No,English,iPhone,15,Male,New Brunswick,Atlantic,You live with two parents,No,Yes,Drugs are bad,Bad,#NULL!,#NULL!,#NULL!,#NULL!,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#NULL!,,No,No,No,No,No,No,Yes,Don't do drugs,Say no to drugs/stay away from drugs,No,,#NULL!,No,Yes,No,No,#NULL!,,Government of Canada/federal government,#NULL!,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Yes,1,Yes,6,4,5,4,Weed speed coke,Marijuana/cannabis,Amphetamines/speed,Crack/cocaine,#NULL!,#NULL!,Cocaine/crack,Amphetamine/speed,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Coke speed,Very likely,Not at all likely,Not at all likely,Not at all likely,Yes,Told them no/I don't do drugs,#NULL!,#NULL!,#NULL!,#NULL!,Said Nahh,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Somewhat dangerous to your health,Somewhat dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Veryserious,Veryserious,Verylikely,Verylikely,Verylikely,Verylikely,Not verylikely,Verylikely,Somewhatlikely,Verylikely,Somewhatserious,Somewhatserious,Verylikely,Somewhatlikely,Not verylikely,Somewhatlikely,Verylikely,Verylikely,Verylikely,Somewhatlikely,Yes,DK/NA,#NULL!,#NULL!,#NULL!,#NULL!,Don't remember,No,Not at alllikely,Not at alllikely,Not at alllikely,Strongly agree,"Yes, in school full-time",A (80% to 100%),"Some community college, vocational or trade school (or some CEGEP)",More than $100,No,No,144,144,129,Inactive,Primary Case
13,14,1.013973000000,Complete,18-Mar-2011 19:16:10,18-Mar-2011 19:45:07,#NULL!,No,No,No,English,BlackBerry,13,Male,British Columbia,British Columbia (include Yukon),You live with one parent,No,No,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,Yes,Yes,Yes,No,No,Yes,Yes,So you don't do drugs,Say no to drugs/stay away from drugs,No,,#NULL!,Yes,No,No,No,#NULL!,,"Some level of government, but not clear which one",#NULL!,,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Yes,15,Yes,7A great deal,4,4,4,"Lsd, weed, cocaine,",L.S.D./acid,Marijuana/cannabis,Crack/cocaine,#NULL!,#NULL!,Marijuana/cannabis,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Weed,Not at all likely,Not at all likely,Not at all likely,Not at all likely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Somewhatserious,Veryserious,Verylikely,Verylikely,Verylikely,Verylikely,Somewhatlikely,Somewhatlikely,Verylikely,Verylikely,Veryserious,Veryserious,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,Not at alllikely,Not at alllikely,Not verylikely,Strongly agree,"Yes, in school full-time",B (70% to 79%),"Completed community college, vocational or trade school (or complete CEGEP)",$1 to $10,No,Yes,148,146,131,Inactive,Primary Case
18,19,1.038529000000,Complete,18-Mar-2011 21:55:04,18-Mar-2011 22:19:34,#NULL!,No,No,No,English,iPhone,15,Female,Alberta,Alberta (include NWT),You live with two parents,Yes,Yes,I cant remember,DK/NA,#NULL!,#NULL!,#NULL!,#NULL!,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#NULL!,,Yes,No,No,Yes,Yes,No,Yes,Don't do drugs. They can mess up your life.,Drugs can ruin your life/family/future,No,,#NULL!,No,No,No,,0drogue.com/not4me.com,Drugsnot4me,Government of Canada/federal government,#NULL!,,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,No,#NULL!,#NULL!,5,6,4,5,Marijuana Ectasy Cocaine,Marijuana/cannabis,Ecstasy,Crack/cocaine,#NULL!,#NULL!,All/most drugs,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,All drugs,Very likely,Not at all likely,Not at all likely,Not at all likely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Veryserious,Veryserious,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Veryserious,Veryserious,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,Not at alllikely,Not at alllikely,Not verylikely,Somewhat agree,"Yes, in school full-time",A (80% to 100%),"Post graduate university (Master’s, Ph.D., completed or not)",$11 to $20,No,Yes,169,162,140,Inactive,Primary Case
19,20,1.018072000000,Complete,18-Mar-2011 22:05:55,18-Mar-2011 22:14:16,#NULL!,No,No,No,Français,Win32,13,Male,Quebec,Quebec,You live with two parents,No,Yes,"mauvais, pas cool,",Not doing drugs/they are bad/unhealthy,#NULL!,#NULL!,#NULL!,#NULL!,0,0,0,0,0,0,0,0,1,0,0,0,0,0,#NULL!,,No,Yes,No,Yes,No,No,Yes,"la drogue change les gen, il ne sont plus cool",Drugs can ruin your life/family/future,Yes,parlé a mes amis,Talk to/warned friends/family,Yes,No,No,No,#NULL!,,Provincial government,#NULL!,,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Yes,2,No,4,3,2,3,"pot, mush, fraisinette",Marijuana/cannabis,Mushrooms,Other,#NULL!,#NULL!,All/most drugs,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,totues,Not very likely,Not very likely,Not very likely,Not very likely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Somewhat dangerous to your health,Very dangerous to your health,Not very dangerous to your health,Somewhat dangerous to your health,Not very dangerous to your health,Very dangerous to your health,Somewhat dangerous to your health,Not very dangerous to your health,Very dangerous to your health,Not very dangerous to your health,Not veryserious,Veryserious,Somewhatlikely,Somewhatlikely,Not verylikely,Not at alllikely,Not verylikely,Not verylikely,Verylikely,Somewhatlikely,Somewhatserious,Veryserious,Not at alllikely,Not verylikely,Not verylikely,Not at alllikely,Somewhatlikely,Somewhatlikely,Not verylikely,Somewhatlikely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,Not verylikely,Not verylikely,Not verylikely,Somewhat agree,"Yes, in school full-time",B (70% to 79%),Completed university (Bachelor,$1 to $10,No,No,71,81,80,Contemplative,Primary Case
25,26,1.013973000000,Complete,19-Mar-2011 00:11:57,19-Mar-2011 00:23:30,#NULL!,No,No,No,English,Linux i686,13,Female,British Columbia,British Columbia (include Yukon),You live with one parent,Yes,Yes,The one where the kid is in the alley and decides to participate in soccer game instead of being gangsta.,"Kids doing sports,etc. instead of drugs",#NULL!,#NULL!,#NULL!,#NULL!,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#NULL!,,No,No,No,No,No,No,Yes,You don't have to follow others... be yourself,Don't feel pressure to do drugs,No,,#NULL!,No,No,No,No,#NULL!,,"Some level of government, but not clear which one",#NULL!,,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Yes,3,Yes,6,6,6,6,Ecstacy Cocaine Beer marijuana everything!,Ecstasy,Crack/cocaine,Alcohol,Marijuana/cannabis,All/everything,DK/NA,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,lol... all of the above...,Very likely,Not at all likely,Not at all likely,Not at all likely,Yes,Told them no/I don't do drugs,#NULL!,#NULL!,#NULL!,#NULL!,I said... no... and went home from THAT party...,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Somewhat dangerous to your health,Not veryserious,Veryserious,Somewhatlikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Somewhatlikely,Not at alllikely,Not at alllikely,Veryserious,Veryserious,Verylikely,Verylikely,Somewhatlikely,Verylikely,Verylikely,Not verylikely,Verylikely,Verylikely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,Not at alllikely,Not at alllikely,Somewhatlikely,Strongly agree,"Yes, in school full-time",A (80% to 100%),"Some community college, vocational or trade school (or some CEGEP)",$11 to $20,No,No,52,67,73,Active,Primary Case
26,27,0.974461000000,Complete,19-Mar-2011 00:53:38,19-Mar-2011 01:11:28,#NULL!,No,No,No,English,Win32,15,Male,Ontario,Ontario (include Nunavut),You live with two parents,Yes,Yes,"DRUGS, Car crashes, Death.",Death/drugs kill,#NULL!,#NULL!,#NULL!,#NULL!,1,0,1,1,0,1,1,1,1,0,0,0,0,0,#NULL!,,Yes,No,No,Yes,Yes,No,Yes,That drugs hurt people and families.,Drugs can ruin your life/family/future,Yes,I promised myself to never give in to peer pressure and do drugs!,Decided not to do drugs/said no to drugs,Yes,No,No,No,#NULL!,,Government of Canada/federal government,#NULL!,,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Yes,3,Yes,5,7A great deal,6,7A great deal,Marijuana  Acid,Marijuana/cannabis,L.S.D./acid,#NULL!,#NULL!,#NULL!,LSD/acid,Marijuana/cannabis,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Acid Marijuana,Somewhat likely,Not at all likely,Not at all likely,Not at all likely,Yes,Told them no/I don't do drugs,#NULL!,#NULL!,#NULL!,#NULL!,"I refused and said ""because i want a future""!",Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Veryserious,Veryserious,Somewhatlikely,Verylikely,Somewhatlikely,Verylikely,Somewhatlikely,Verylikely,Somewhatlikely,Verylikely,Veryserious,Veryserious,Verylikely,Verylikely,Somewhatlikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Yes,Kidshealth.org,Other,#NULL!,#NULL!,#NULL!,"Kids health, Covenant House",No,Not at alllikely,Not at alllikely,Not verylikely,Strongly disagree,"Yes, in school full-time",B (70% to 79%),Some high school (grades 8 - 11),$81 to $100,No,No,132,132,118,Contemplative,Primary Case
28,29,0.974461000000,Complete,19-Mar-2011 03:47:28,19-Mar-2011 03:58:32,#NULL!,No,No,No,English,Win32,14,Male,Ontario,Ontario (include Nunavut),You live with two parents,Yes,No,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,No,No,No,No,No,No,No,,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,No,#NULL!,#NULL!,5,5,5,5,I haven't heard of any.,DK/NA,#NULL!,#NULL!,#NULL!,#NULL!,Marijuana/cannabis,Ecstasy/MDMA,Heroin,#NULL!,#NULL!,#NULL!,#NULL!,Marijuana Ecstasy Heroin,Very likely,Not at all likely,Not at all likely,Not at all likely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Somewhat dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Somewhatserious,Veryserious,Verylikely,Verylikely,Verylikely,Verylikely,Somewhatlikely,Somewhatlikely,Verylikely,Verylikely,Veryserious,Veryserious,Somewhatlikely,Verylikely,Somewhatlikely,Somewhatlikely,Not verylikely,Verylikely,Somewhatlikely,Not verylikely,Yes,DK/NA,#NULL!,#NULL!,#NULL!,#NULL!,"I don't remember, it was a long time ago for a school project.",No,Not at alllikely,Not at alllikely,Not at alllikely,Strongly agree,"Yes, in school full-time",A (80% to 100%),Completed university (Bachelor,$1 to $10,No,No,157,155,139,Inactive,Primary Case
30,31,0.974461000000,Complete,19-Mar-2011 05:43:47,19-Mar-2011 05:56:24,#NULL!,No,No,No,English,Win32,14,Female,Ontario,Ontario (include Nunavut),You live with one parent,No,No,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,No,No,No,No,No,No,No,,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,No,#NULL!,#NULL!,4,5,5,7A great deal,Marijuana heroin,Marijuana/cannabis,Heroin,#NULL!,#NULL!,#NULL!,Cocaine/crack,Heroin,Marijuana/cannabis,#NULL!,#NULL!,#NULL!,#NULL!,Cocaine Heroin Marijuana,Very likely,Not at all likely,Not very likely,Not at all likely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not very dangerous to your health,Very dangerous to your health,Somewhat dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Not veryserious,Somewhatserious,Not verylikely,Verylikely,Somewhatlikely,Somewhatlikely,Not verylikely,Somewhatlikely,Not at alllikely,Somewhatlikely,Somewhatserious,Veryserious,Somewhatlikely,Verylikely,Somewhatlikely,Somewhatlikely,Not verylikely,Somewhatlikely,Not verylikely,Somewhatlikely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,Not verylikely,Not at alllikely,Not verylikely,Somewhat agree,"Yes, in school full-time",A (80% to 100%),Completed university (Bachelor,Zero,No,No,82,93,94,Active,Primary Case
32,33,0.974461000000,Complete,19-Mar-2011 15:20:43,19-Mar-2011 15:33:26,#NULL!,No,No,No,English,Win32,15,Male,Ontario,Ontario (include Nunavut),You live with a parent and a step- parent,Yes,Yes,Drugs kill!,Death/drugs kill,#NULL!,#NULL!,#NULL!,#NULL!,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#NULL!,,Yes,Yes,No,Yes,Yes,Yes,Yes,Drugs are not worth it! They will ruin your life!,Drugs can ruin your life/family/future,No,,#NULL!,Yes,No,Yes,No,#NULL!,,"Some level of government, but not clear which one",#NULL!,,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Yes,20,Yes,4,6,6,6,"marijuana, cocaine, esctasy, alcohol, cigarettes",Marijuana/cannabis,Crack/cocaine,Ecstasy,Alcohol,Tobacco/nicotine/cigarettes,Marijuana/cannabis,Cocaine/crack,Alcohol,Ecstasy/MDMA,Tobacco/nicotine/cigarettes,#NULL!,#NULL!,"marijuana, cocaine, alcohol, esctasy, cigarettes",Very likely,Not very likely,Not very likely,Not very likely,Yes,Told parent/relative,#NULL!,#NULL!,#NULL!,#NULL!,told my mom as soon as I got home,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Somewhat dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Somewhatserious,Veryserious,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Somewhatlikely,Somewhatlikely,Veryserious,Veryserious,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,Not at alllikely,Not at alllikely,Verylikely,Strongly agree,"Yes, in school full-time",C (60% to 69%),Some high school (grades 8 - 11),$1 to $10,No,No,143,140,122,Inactive,Primary Case
