resultNumber,censusMetropolitanArea,province,forwardSortationAreaCodes,testDurationInDays,averageRadonConcentrationInBqPerM3,averageThoronConcentrationInBqPerM3
1,Calgary CMA,AB,*,90,89,<15
2,Calgary CMA,AB,*,92,18,<15
3,Calgary CMA,AB,*,91,114,<15
4,Calgary CMA,AB,*,91,185,<15
5,Calgary CMA,AB,*,91,71,<15
6,Calgary CMA,AB,*,91,35,<15
7,Calgary CMA,AB,*,93,102,<15
8,Calgary CMA,AB,*,91,322,<15
9,Calgary CMA,AB,*,91,119,18
10,Calgary CMA,AB,T1Y,94,125,<15
11,Calgary CMA,AB,T1Y,92,123,<15
12,Calgary CMA,AB,T1Y,94,114,<15
13,Calgary CMA,AB,T1Y,91,91,<15
14,Calgary CMA,AB,T2A,90,123,20
15,Calgary CMA,AB,T2A,102,31,<15
16,Calgary CMA,AB,T2A,94,158,18
17,Calgary CMA,AB,T2B,106,151,<15
18,Calgary CMA,AB,T2B,94,43,<15
19,Calgary CMA,AB,T2B,91,82,<15
20,Calgary CMA,AB,T2B,114,153,<15
21,Calgary CMA,AB,T2B,91,87,<15
22,Calgary CMA,AB,T2B,91,116,19
23,Calgary CMA,AB,T2C,109,87,<15
24,Calgary CMA,AB,T2C,90,67,<15
25,Calgary CMA,AB,T2C,105,119,<15
26,Calgary CMA,AB,T2E,94,100,<15
27,Calgary CMA,AB,T2E,95,108,<15
28,Calgary CMA,AB,T2E,106,107,<15
29,Calgary CMA,AB,T2E,91,116,19
30,Calgary CMA,AB,T2H,91,101,<15
31,Calgary CMA,AB,T2H,97,137,<15
32,Calgary CMA,AB,T2H,91,206,<15
33,Calgary CMA,AB,T2J,91,40,<15
34,Calgary CMA,AB,T2J,92,245,<15
35,Calgary CMA,AB,T2K,91,89,<15
36,Calgary CMA,AB,T2K,92,129,<15
37,Calgary CMA,AB,T2L,97,98,<15
38,Calgary CMA,AB,T2L,90,53,<15
39,Calgary CMA,AB,T2L,91,161,<15
40,Calgary CMA,AB,T2T,95,56,<15
41,Calgary CMA,AB,T2T,100,61,<15
42,Calgary CMA,AB,T2T,149,78,<15
43,Calgary CMA,AB,T2V,91,97,<15
44,Calgary CMA,AB,T2V,89,200,<15
45,Calgary CMA,AB,T2W,91,322,<15
46,Calgary CMA,AB,T2W,91,344,<15
47,Calgary CMA,AB,T2W,100,168,<15
48,Calgary CMA,AB,T2W,91,152,<15
49,Calgary CMA,AB,T2X,92,154,<15
50,Calgary CMA,AB,T2X,97,98,<15
51,Calgary CMA,AB,T2Z,118,112,<15
52,Calgary CMA,AB,T2Z,98,154,26
53,Calgary CMA,AB,T2Z,93,96,<15
54,Calgary CMA,AB,T2Z,99,109,<15
55,Calgary CMA,AB,T2Z,90,62,<15
56,Calgary CMA,AB,T2Z,91,80,<15
57,Calgary CMA,AB,T3A,119,117,<15
58,Calgary CMA,AB,T3A,91,85,<15
59,Calgary CMA,AB,T3A,97,40,21
60,Calgary CMA,AB,T3A,97,31,<15
61,Calgary CMA,AB,T3A,96,122,<15
62,Calgary CMA,AB,T3A,92,78,<15
63,Calgary CMA,AB,T3B,125,101,<15
64,Calgary CMA,AB,T3B,92,81,<15
65,Calgary CMA,AB,T3C,61,252,24
66,Calgary CMA,AB,T3C,91,211,<15
67,Calgary CMA,AB,T3C,93,34,<15
68,Calgary CMA,AB,T3E,92,155,<15
69,Calgary CMA,AB,T3E,97,129,<15
70,Calgary CMA,AB,T3G,99,95,<15
71,Calgary CMA,AB,T3G,91,393,<15
72,Calgary CMA,AB,T3G,91,77,<15
73,Calgary CMA,AB,T3G,103,144,<15
74,Calgary CMA,AB,T3G,91,67,<15
75,Calgary CMA,AB,T3H,93,158,<15
76,Calgary CMA,AB,T3H,91,209,<15
77,Calgary CMA,AB,T3H,92,183,<15
78,Calgary CMA,AB,T3H,99,841,<15
79,Calgary CMA,AB,T3J,91,229,<15
80,Calgary CMA,AB,T3J,91,22,<15
81,Calgary CMA,AB,T3K,90,64,<15
82,Calgary CMA,AB,T3K,99,97,<15
83,Calgary CMA,AB,T3K,98,132,16
84,Calgary CMA,AB,T3L,98,78,<15
85,Calgary CMA,AB,T3L,91,150,<15
86,Calgary CMA,AB,T3L,91,53,<15
87,Calgary CMA,AB,T3M,111,69,20
