Food Name,Sample Code,Product Description,Food Group,Country of Origin,Intended Use,Sample Type,Sub Sample,Sample Collection Date,Reason Collected,Human Illness Flag,Sampling Location Type,Sampling Location City Name,Sampling Location Province,Sampling Location Country,Lab Name,Analysis Completion Date,Result Operator,Result Value,Units of measurement,Analyte Name,Analyte Group,LOD,LOQ,MDL,Basis for Result,Quality Assurance,Result Comments,Test Method Name,Test Method Code,Instrumentation,Method Comments,Project Code,Project Name,Project Description,Organization
Apple Juice,TDS1998-HH01-Hg,"HH01 Apple juice, canned (Unsweetened apple juice)/Jus de pommes en conserve (jus de pommes non sucré)",Fruit juice,Unknown,Ready-to-eat,Composite,Yes,1998-01-15,Surveillance,No,Grocery Store,Whitehorse,Yukon,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,1999-01-01,<LOD/MDL,0,ng/g,Mercury (Hg),Elements,0.087,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS1998.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 1998 Data,,Health Canada
Apple Juice,TDS2000-HH01-Hg,"HH01 Apple juice, canned (Unsweetened apple juice)/Jus de pommes en conserve (jus de pommes non sucré)",Fruit juice,Unknown,Ready-to-eat,Composite,Yes,2000-09-15,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,2001-01-01,<LOD/MDL,0,ng/g,Mercury (Hg),Elements,0.04,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS2000.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 2000 Data,,Health Canada
"Apple Sauce, canned",TDS1998-HH02-Hg,"HH02 Applesauce, canned (Sweetened apple sauce)/Compote de pommes en conserve (compote de pommes sucrée)",Canned,Unknown,Ready-to-eat,Composite,Yes,1998-01-15,Surveillance,No,Grocery Store,Whitehorse,Yukon,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,1999-01-01,<LOD/MDL,0,ng/g,Mercury (Hg),Elements,0.099,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS1998.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 1998 Data,,Health Canada
"Apple Sauce, canned",TDS2000-HH02-Hg,"HH02 Applesauce, canned (Sweetened apple sauce)/Compote de pommes en conserve (compote de pommes sucrée)",Canned,Unknown,Ready-to-eat,Composite,Yes,2000-09-15,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,2001-01-01,<LOD/MDL,0,ng/g,Mercury (Hg),Elements,0.12,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS2000.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 2000 Data,,Health Canada
"Baby Food, Dinners Cereal, Vegetable, Meat",TDS2000-LL03-Hg,"LL03 Dinners, cereal + vegetable + meat (Babyfood)/Repas : céréale + légume + viande (aliments pour bébés)",Babyfood,Unknown,Ready-to-eat,Composite,Yes,2000-09-15,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,2001-01-01,=,0.53,ng/g,Mercury (Hg),Elements,0,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS2000.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 2000 Data,,Health Canada
"Baby Food, Dinners, Meat Or Poultry & Vegetable",TDS1998-LL04-Hg,"LL04 Dinners, meat or poultry + vegetable (Babyfood)/Repas : viande ou volaille + légume (aliments pour bébés)",Babyfood,Unknown,Ready-to-eat,Composite,Yes,1998-01-15,Surveillance,No,Grocery Store,Whitehorse,Yukon,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,1999-01-01,=,0.18,ng/g,Mercury (Hg),Elements,0,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS1998.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 1998 Data,,Health Canada
"Baby Food, Dinners, Meat Or Poultry & Vegetable",TDS2000-LL04-Hg,"LL04 Dinners, meat or poultry + vegetable (Babyfood)/Repas : viande ou volaille + légume (aliments pour bébés)",Babyfood,Unknown,Ready-to-eat,Composite,Yes,2000-09-15,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,2001-01-01,=,0.49,ng/g,Mercury (Hg),Elements,0,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS2000.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 2000 Data,,Health Canada
"Baby Food, Dinners, Meat Or Poultry Or Eggs",TDS1998-LL08-Hg,"LL08 Meat, poultry or eggs (Babyfood)/Viande, volaille ou œufs (aliments pour bébés)",Babyfood,Unknown,Ready-to-eat,Composite,Yes,1998-01-15,Surveillance,No,Grocery Store,Whitehorse,Yukon,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,1999-01-01,=,0.077,ng/g,Mercury (Hg),Elements,0,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS1998.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 1998 Data,,Health Canada
"Baby Food, Dinners, Meat Or Poultry Or Eggs",TDS2000-LL08-Hg,"LL08 Meat, poultry or eggs (Babyfood)/Viande, volaille ou œufs (aliments pour bébés)",Babyfood,Unknown,Ready-to-eat,Composite,Yes,2000-09-15,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,2001-01-01,=,0.44,ng/g,Mercury (Hg),Elements,0,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS2000.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 2000 Data,,Health Canada
"Beans, Baked, canned",TDS1998-GG01-Hg,"GG01 Baked beans, canned/Fèves au lard en conserve",Canned Legumes,Unknown,Ready-to-eat,Composite,Yes,1998-01-15,Surveillance,No,Grocery Store,Whitehorse,Yukon,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,1999-01-01,<LOD/MDL,0,ng/g,Mercury (Hg),Elements,0.16,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS1998.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 1998 Data,,Health Canada
