Location/Emplacement,Province/Province,Year/Année,Quarter/Trimestre,TLD Monitor Air Kerma/Contrôle kerma de l'air (µGy),TLD Transit Out Air Kerma/Transport dehors kerma de l'air (µGy),TLD Transit Back Air Kerma/Transport de retour kerma de l'air (µGy),OSL Monitor Air Kerma/Contrôle kerma de l'air (µGy),OSL Transit Out Air Kerma/Transport dehors kerma de l'air (µGy),OSL Transit Back Air Kerma/Transport de retour kerma de l'air (µGy),Uncorrected TLD Monitor Air Kerma / Contrôle kerma de l'air non corrigée (µGy),Uncorrected TLD Transit Out Air Kerma / Transport dehors kerma de l'air non corrigée (µGy),Uncorrected TLD Transit Back Air Kerma / Transport de retour kerma de l'air non corrigée (µGy),Station ID/ID de la station
Alert,NU,2008,1,220.409,133.166,118.294,,,,145.243,87.753,77.953,AT1
Alert,NU,2008,2,218.916,118.294,129.263,,,,144.259,77.953,85.18,AT1
Alert,NU,2008,3,282.238,129.263,145.737,,,,185.987,85.18,96.036,AT1
Alert,NU,2008,4,217.255,145.737,100.221,,,,143.165,96.036,66.043,AT1
Alert,NU,2009,1,268.137,100.221,151.341,,,,176.695,66.043,99.73,AT1
Alert,NU,2009,2,227.856,151.341,118.864,,,,150.151,99.73,78.328,AT1
Alert,NU,2010,2,242.211,152.312,153.958,,,,159.61,100.369,101.454,AT1
Alert,NU,2010,3,326.784,153.958,145.231,297.984,148.992,148.992,215.342,101.454,95.703,AT1
Alert,NU,2010,4,258.903,145.231,133.344,219.106,148.992,113.935,170.61,95.703,87.87,AT1
Alert,NU,2011,1,243.684,133.344,148.203,210.342,113.935,131.464,160.581,87.87,97.662,AT1
Alert,NU,2011,2,293.808,148.203,121.893,280.456,131.464,175.285,193.611,97.662,80.324,AT1
Alert,NU,2011,3,281.862,121.893,157.004,236.635,175.285,122.699,185.739,80.324,103.461,AT1
Alert,NU,2011,4,223.883,157.004,132.273,201.578,122.699,87.642,147.532,103.461,87.164,AT1
Alert,NU,2012,1,229.901,132.273,129.789,184.049,87.642,113.935,151.498,87.164,85.528,AT1
Alert,NU,2012,2,215.06,129.789,111.427,227.87,113.935,113.935,141.719,85.528,73.427,AT1
Alert,NU,2012,3,273.381,111.427,105.424,236.635,113.935,96.407,180.15,73.427,69.472,AT1
Alert,NU,2012,4,215.095,105.424,111.841,210.342,96.407,122.699,141.742,69.472,73.7,AT1
Alert,NU,2013,1,231.315,111.841,140.147,236.635,122.699,148.992,152.43,73.7,92.353,AT1
Alert,NU,2013,2,233.781,140.147,130.274,245.399,148.992,,154.055,92.353,85.847,AT1
Alert,NU,2013,3,285.123,130.274,142.686,271.691,,131.464,187.888,85.847,94.026,AT1
Alert,NU,2013,4,233.626,142.686,142.24,262.927,131.464,140.228,153.953,94.026,93.732,AT1
Alert,NU,2014,1,268.497,142.24,,,140.228,,176.932,93.732,,AT1
Alert,NU,2014,2,167.877,,87.129,175.285,,96.407,110.626,,57.415,AT1
Alert,NU,2014,3,,,,271.691,,105.171,,,,AT1
Alert,NU,2014,4,236.751,,106.766,219.106,105.171,105.171,156.012,,70.355,AT1
Alert,NU,2015,1,,,,245.399,105.171,122.699,,,,AT1
Alert,NU,2015,2,,,,,122.699,,,,,AT1
Calgary,AB,2008,1,314.526,98.449,84.948,,,,207.264,64.875,55.978,CY2
Calgary,AB,2008,2,262.698,84.948,97.747,,,,173.11,55.978,64.413,CY2
Calgary,AB,2008,3,301.73,97.747,100.415,,,,198.832,64.413,66.171,CY2
Calgary,AB,2008,4,299.577,100.415,93.849,,,,197.413,66.171,61.844,CY2
Calgary,AB,2009,1,266.512,93.849,89.527,,,,175.624,61.844,58.996,CY2
Calgary,AB,2009,2,298.288,89.527,89.193,,,,196.563,58.996,58.776,CY2
Calgary,AB,2009,3,244.944,89.193,79.906,,,,161.411,58.776,52.656,CY2
Calgary,AB,2009,4,313.07,79.906,117.552,,,,206.304,52.656,77.463,CY2
Calgary,AB,2010,1,299.935,117.552,95.603,,,,197.649,77.463,63,CY2
Calgary,AB,2010,2,302.601,95.603,116.196,,,,199.406,63,76.57,CY2
Calgary,AB,2010,3,310.281,116.196,103.491,262.927,105.171,122.699,204.466,76.57,68.198,CY2
Calgary,AB,2010,4,305.775,103.491,100.103,245.399,122.699,87.642,201.497,68.198,65.965,CY2
Calgary,AB,2011,1,251.299,100.103,111.814,227.87,87.642,78.878,165.599,65.965,73.682,CY2
Calgary,AB,2011,2,309.013,111.814,98.404,280.456,78.878,105.171,203.631,73.682,64.845,CY2
Calgary,AB,2011,3,309.888,98.404,104.853,297.984,105.171,105.171,204.207,64.845,69.095,CY2
Calgary,AB,2011,4,325.633,104.853,122.351,315.513,105.171,122.699,214.583,69.095,80.626,CY2
Calgary,AB,2012,1,285.068,122.351,90.829,227.87,122.699,87.642,187.852,80.626,59.854,CY2
Calgary,AB,2012,2,297.837,90.829,76.442,271.691,87.642,87.642,196.266,59.854,50.373,CY2
Calgary,AB,2012,3,265.036,76.442,83.052,280.456,87.642,78.878,174.651,50.373,54.729,CY2
Calgary,AB,2012,4,277.213,83.052,73.773,262.927,78.878,87.642,182.676,54.729,48.615,CY2
Calgary,AB,2013,1,249.61,73.773,98.557,297.984,87.642,113.935,164.486,48.615,64.946,CY2
Calgary,AB,2013,2,281.977,98.557,80.707,245.399,113.935,96.407,185.815,64.946,53.184,CY2
Calgary,AB,2013,3,286.61,80.707,87.42,306.748,96.407,113.935,188.868,53.184,57.607,CY2
Calgary,AB,2013,4,277.75,87.42,104.089,245.399,113.935,105.171,183.029,57.607,68.592,CY2
Calgary,AB,2014,1,320.77,104.089,72.947,306.748,105.171,96.407,211.378,68.592,48.07,CY2
Calgary,AB,2014,2,217.155,72.947,71.856,227.87,96.407,87.642,143.099,48.07,47.351,CY2
Calgary,AB,2014,3,224.313,71.856,46.334,245.399,87.642,61.35,147.816,47.351,30.533,CY2
Calgary,AB,2014,4,306.246,46.334,81.26,219.106,61.35,96.407,201.808,30.533,53.548,CY2
Calgary,AB,2015,1,,,,245.399,96.407,113.935,,,,CY2
Calgary,AB,2015,2,,,,280.456,113.935,,,,,CY2
Charlottetown,PEI,2008,1,252.094,108.61,85.953,,,,166.123,71.571,56.641,CN1
Charlottetown,PEI,2008,2,264.933,85.953,107.993,,,,174.583,56.641,71.164,CN1
Charlottetown,PEI,2008,3,283.083,107.993,111.537,,,,186.543,71.164,73.5,CN1
Charlottetown,PEI,2008,4,270.632,111.537,78.213,,,,178.339,73.5,51.54,CN1
Charlottetown,PEI,2009,1,245.199,78.213,103.966,,,,161.579,51.54,68.51,CN1
Charlottetown,PEI,2009,2,292.22,103.966,96.771,,,,192.565,68.51,63.77,CN1
Charlottetown,PEI,2009,3,235.217,96.771,93.555,,,,155.002,63.77,61.65,CN1
Charlottetown,PEI,2009,4,299.297,93.555,110.815,,,,197.229,61.65,73.024,CN1
Charlottetown,PEI,2010,1,249.095,110.815,95.825,,,,164.147,73.024,63.146,CN1
Charlottetown,PEI,2010,2,284.423,95.825,122.943,,,,187.427,63.146,81.016,CN1
Charlottetown,PEI,2010,3,289.559,122.943,99.029,280.456,148.992,105.171,190.811,81.016,65.257,CN1
Charlottetown,PEI,2010,4,301.072,99.029,113.671,271.691,105.171,105.171,198.398,65.257,74.906,CN1
Charlottetown,PEI,2011,1,215.726,113.671,93.337,184.049,105.171,96.407,142.157,74.906,61.507,CN1
Charlottetown,PEI,2011,2,310.995,93.337,115.349,297.984,96.407,140.228,204.937,61.507,76.012,CN1
Charlottetown,PEI,2011,3,270.288,115.349,99.32,262.927,140.228,113.935,178.112,76.012,65.449,CN1
Charlottetown,PEI,2011,4,285.876,99.32,106.222,280.456,113.935,105.171,188.384,65.449,69.997,CN1
Charlottetown,PEI,2012,1,244.093,106.222,89.529,245.399,105.171,113.935,160.851,69.997,58.997,CN1
Charlottetown,PEI,2012,2,279.847,89.529,71.753,271.691,113.935,70.114,184.411,58.997,47.283,CN1
Charlottetown,PEI,2012,3,244.71,71.753,78.973,262.927,70.114,78.878,161.257,47.283,52.041,CN1
Charlottetown,PEI,2012,4,250.608,78.973,79.196,254.163,78.878,105.171,165.144,52.041,52.188,CN1
Charlottetown,PEI,2013,1,222.567,79.196,103.42,227.87,105.171,122.699,146.666,52.188,68.151,CN1
Charlottetown,PEI,2013,2,247.757,103.42,82.341,254.163,122.699,87.642,163.265,68.151,54.26,CN1
Charlottetown,PEI,2013,3,282.738,82.341,104.75,306.748,87.642,131.464,186.317,54.26,69.027,CN1
Charlottetown,PEI,2013,4,251.824,104.75,101.827,271.691,131.464,113.935,165.945,69.027,67.101,CN1
Charlottetown,PEI,2014,1,254.468,101.827,62.471,201.578,113.935,96.407,167.687,67.101,41.167,CN1
Charlottetown,PEI,2014,2,191.511,62.471,62.978,192.813,96.407,105.171,126.201,41.167,41.501,CN1
Charlottetown,PEI,2014,3,212.734,62.978,60.032,192.813,105.171,52.585,140.186,41.501,39.559,CN1
Charlottetown,PEI,2014,4,,,,,52.585,,,,,CN1
Charlottetown,PEI,2015,1,,,,,,131.464,,,,CN1
Charlottetown,PEI,2015,2,,,,262.927,131.464,,,,,CN1
Churchill,MB,2008,1,225.262,88.25,79.114,,,,148.441,58.154,52.134,CL1
Churchill,MB,2008,2,215.509,79.114,82.301,,,,142.014,52.134,54.234,CL1
Churchill,MB,2008,3,281.502,82.301,118.418,,,,185.502,54.234,78.034,CL1
Churchill,MB,2008,4,194.835,118.418,86.417,,,,128.391,78.034,56.947,CL1
Churchill,MB,2009,1,219.731,86.417,99.354,,,,144.796,56.947,65.472,CL1
Churchill,MB,2009,2,215.179,99.354,97.902,,,,141.797,65.472,64.514,CL1
Churchill,MB,2009,3,255.346,97.902,99.419,,,,168.266,64.514,65.514,CL1
Churchill,MB,2009,4,266.783,99.419,110.94,,,,175.802,65.514,73.106,CL1
Churchill,MB,2010,2,220.018,100.408,114.649,,,,144.986,66.166,75.551,CL1
Churchill,MB,2010,3,284.969,114.649,102.962,271.691,140.228,131.464,187.787,75.551,67.849,CL1
Churchill,MB,2010,4,288.434,102.962,121.706,210.342,131.464,96.407,190.07,67.849,80.201,CL1
Churchill,MB,2011,1,207.713,121.706,80.38,210.342,96.407,87.642,136.877,80.201,52.968,CL1
Churchill,MB,2011,2,276.103,80.38,124.565,254.163,87.642,140.228,181.944,52.968,82.085,CL1
Churchill,MB,2011,3,278.269,124.565,138.861,289.22,140.228,148.992,183.372,82.085,91.505,CL1
Churchill,MB,2011,4,269.031,138.861,138.138,254.163,148.992,140.228,177.284,91.505,91.029,CL1
Churchill,MB,2012,1,219.851,138.138,99.275,245.399,140.228,87.642,144.876,91.029,65.419,CL1
Churchill,MB,2012,2,221.523,99.275,80.921,245.399,87.642,96.407,145.977,65.419,53.325,CL1
Churchill,MB,2012,3,255.27,80.921,115.999,271.691,96.407,122.699,168.216,53.325,76.44,CL1
Churchill,MB,2012,4,243.806,115.999,128.682,227.87,122.699,105.171,160.661,76.44,84.798,CL1
Churchill,MB,2013,1,223.886,128.682,95.138,219.106,105.171,105.171,147.535,84.798,62.694,CL1
Churchill,MB,2013,2,211.262,95.138,91.012,201.578,105.171,87.642,139.216,62.694,59.975,CL1
Churchill,MB,2013,3,,,,,87.642,,,,,CL1
Churchill,MB,2013,4,229.321,,101.471,254.163,,122.699,151.116,,66.866,CL1
Churchill,MB,2014,1,283.169,101.471,88.321,271.691,122.699,105.171,186.6,66.866,58.201,CL1
Churchill,MB,2014,2,182.277,88.321,67.664,201.578,105.171,105.171,120.115,58.201,44.588,CL1
Churchill,MB,2014,3,191.245,67.664,57.918,175.285,105.171,70.114,126.025,44.588,38.166,CL1
Churchill,MB,2014,4,274.817,57.918,84.563,192.813,70.114,87.642,181.097,38.166,55.725,CL1
Churchill,MB,2015,1,,,,262.927,87.642,131.464,,,,CL1
Churchill,MB,2015,2,,,,,131.464,,,,,CL1
Coral Harbour,NU,2008,1,195.98,111.795,87.16,,,,129.146,73.67,57.436,CR1
Coral Harbour,NU,2008,2,173.071,87.16,90.322,,,,114.049,57.436,59.519,CR1
Coral Harbour,NU,2008,3,213.475,90.322,113.123,,,,140.674,59.519,74.545,CR1
Coral Harbour,NU,2008,4,210.079,113.123,98.414,,,,138.436,74.545,64.852,CR1
Coral Harbour,NU,2009,1,208.73,98.414,113.722,,,,137.547,64.852,74.94,CR1
Coral Harbour,NU,2009,2,312.713,113.722,131.948,,,,206.069,74.94,86.95,CR1
Coral Harbour,NU,2009,3,207.196,131.948,106.082,,,,136.536,86.95,69.905,CR1
