Created: 2016-12-01T12:24:15.829012
Name: Notice_of_Compliance_Veterinary_Species_
Original URL: https://www.canada.ca/content/dam/hc-sc/documents/services/drugs-health-products/drug-products/notice-compliance/database/noc_vet_species.txt
Package ID: 98ee168e-dcae-47ff-b136-104f7af212e2
Keywords: ['notice of compliance listings', 'notices of compliance with conditions']
Notes: A Notice of Compliance is a notification, issued pursuant to paragraph C.08.004(1)(a), indicating that a manufacturer has complied with sections C.08.002 or C.08.003 and C.08.005.1 of the Food and Drug Regulations. Notices of Compliance are issued to a manufacturer following the satisfactory review of a submission.

The NOC extract files contain Health Canada authorization dates for all drugs dating back to 1994 that have received an NOC.  There are four types of NOCs: Biological, Prescription, Nonprescription and Veterinary.  This data extract contains information on Notice of Compliance Veterinary Species.

-------------------------------
Extracted Text:
"64","CATTLE","BOVINS"
"71","DOGS","CHIENS"
"80","HORSES","CHEVAUX"
"131","SWINE","PORCINS"
"131","SHEEP","MOUTONS"
"131","CATTLE","BOVINS"
"134","CATTLE","BOVINS"
"134","SWINE","PORCINS"
"149","CATTLE","BOVINS"
"175","CATTLE","BOVINS"
"175","SWINE","PORCINS"
"526","DOGS","CHIENS"
"527","DOGS","CHIENS"
"528","DOGS","CHIENS"
"529","DOGS","CHIENS"
"530","DOGS","CHIENS"
"3351","SWINE","PORCINS"
"3351","CATTLE","BOVINS"
"3352","CATTLE","BOVINS"
"3352","SWINE","PORCINS"
"3353","DAIRY CATTLE","VACHES LAITIÈRES"
"3354","HORSES","CHEVAUX"
"3354","CATS","CHATS"
"3354","DOGS","CHIENS"
"3355","DOGS","CHIENS"
"3355","CATS","CHATS"
"3356","CATS","CHATS"
"3356","DOGS","CHIENS"
"3357","CATTLE","BOVINS"
"3358","BROILER CHICKENS","POULETS À GRILLER"
"3358","CATTLE","BOVINS"
"3358","TURKEYS","DINDES"
"3361","TURKEYS","DINDES"
"3361","CATTLE","BOVINS"
"3361","BROILER CHICKENS","POULETS À GRILLER"
"3371","DAIRY CATTLE","VACHES LAITIÈRES"
"3373","DAIRY CATTLE","VACHES LAITIÈRES"
"3374","DAIRY CATTLE","VACHES LAITIÈRES"
"3377","DAIRY CATTLE","VACHES LAITIÈRES"
"3378","DAIRY CATTLE","VACHES LAITIÈRES"
"3379","DAIRY CATTLE","VACHES LAITIÈRES"
"3380","DAIRY CATTLE","VACHES LAITIÈRES"
"3381","DAIRY CATTLE","VACHES LAITIÈRES"
"3382","DAIRY CATTLE","VACHES LAITIÈRES"
"3383","DAIRY CATTLE","VACHES LAITIÈRES"
"3384","BEEF STEERS","BOVILLONS DE BOUCHERIE"
"3393","BEEF HEIFERS","GÉNISSES DE BOUCHERIE"
"3394","CALVES","VEAUX"
"3395","CATTLE","BOVINS"
"3395","SWINE","PORCINS"
"3396","HORSES","CHEVAUX"
"3397","DOGS","CHIENS"
"3398","DOGS","CHIENS"
"3398","CATS","CHATS"
"3399","CATTLE","BOVINS"
"3399","SWINE","PORCINS"
"3399","SHEEP","MOUTONS"
"3400","DAIRY CATTLE","VACHES LAITIÈRES"
"3401","DOGS","CHIENS"
"3402","DOGS","CHIENS"
"3407","SHEEP","MOUTONS"
"3408","DEER","CHEVREUILS"
"3408","BEEF CATTLE","BOVINS DE BOUCHERIE"
"3408","DAIRY CATTLE","VACHES LAITIÈRES"
"3410","DOGS","CHIENS"
"3410","CATS","CHATS"
"3411","CATTLE","BOVINS"
"3412","DOGS","CHIENS"
"3414","DOGS","CHIENS"
"3417","DAIRY CATTLE","VACHES LAITIÈRES"
"3419","SWINE","PORCINS"
"3419","BROILER CHICKENS","POULETS À GRILLER"
"3419","TURKEYS","DINDES"
"3421","TURKEYS","DINDES"
"3421","CHICKENS","POULETS"
"3421","SWINE","PORCINS"
"3424","HORSES","CHEVAUX"
"3426","SWINE","PORCINS"
"3429","CATTLE","BOVINS"
"3429","SHEEP","MOUTONS"
"3429","SWINE","PORCINS"
"3432","CATTLE","BOVINS"
"3435","DOGS","CHIENS"
"3435","CATS","CHATS"
"3436","CATTLE","BOVINS"
"3440","HORSES","CHEVAUX"
"3441","CATTLE","BOVINS"
"3442","DOGS","CHIENS"
"3442","CATS","CHATS"
"3443","DOGS","CHIENS"
"3443","CATS","CHATS"
"3444","CATS","CHATS"
"3444","DOGS","CHIENS"
"3445","DAIRY CATTLE","VACHES LAITIÈRES"
"3445","BEEF CATTLE","BOVINS DE BOUCHERIE"
"3447","DAIRY CATTLE","VACHES LAITIÈRES"
"3447","BEEF CATTLE","BOVINS DE BOUCHERIE"
"3461","BEEF CATTLE","BOVINS DE BOUCHERIE"
"3461","DAIRY CATTLE","VACHES LAITIÈRES"
"3482","BEEF CATTLE","BOVINS DE BOUCHERIE"
"3482","DAIRY CATTLE","VACHES LAITIÈRES"
"3483","DOGS","CHIENS"
"3484","DOGS","CHIENS"
"3486","DOGS","CHIENS"
"3487","DRY COWS","VACHES TARIES"
"3488","LACTATING COWS","VACHES EN LACTATION"
"3489","DOGS","CHIENS"
"3490","DRY COWS","VACHES TARIES"
"3492","CALVES","VEAUX"
"3503","HEIFERS","GÉNISSES"
"3506","STEER","BOUVILLONS"
"3516","FEEDLOT STEERS","BOUVILLONS D'ENGRAISSEMENT"
"3518","CATTLE","BOVINS"
"3518","SWINE","PORCINS"
"3520","BEEF CATTLE","BOVINS DE BOUCHERIE"
"3522","HORSES","CHEVAUX"
"3525","HORSES","CHEVAUX"
"3527","FEEDLOT HEIFERS","GÉNISSES D'ENGRAISSEMENT"
"3527","FEEDLOT STEERS","BOUVILLONS D'ENGRAISSEMENT"
"3531","CATTLE (excluding lactating dairy cattle)","BOVINS (EXCLUANT LES VACHES LAITIÈRES EN LACTATION)"
"3532","FEEDLOT STEERS","BOUVILLONS D'ENGRAISSEMENT"
"3532","FEEDLOT HEIFERS","GÉNISSES D'ENGRAISSEMENT"
"3618","BROILER CHICKENS","POULETS À GRILLER"
"3618","TURKEYS","DINDES"
"3618","REPLACEMENT CHICKENS","POULETS DE REMPLACEMENT"
"3618","SWINE","PORCINS"
"3620","HORSES","CHEVAUX"
"3623","DOGS","CHIENS"
"3624","HORSES","CHEVAUX"
"3624","CATTLE","BOVINS"
"3626","DOGS","CHIENS"
"3627","CATS","CHATS"
"3628","SWINE","PORCINS"
"3629","CATTLE","BOVINS"
"3629","SWINE","PORCINS"
"3630","CATS","CHATS"
"3630","DOGS","CHIENS"
"3631","SWINE","PORCINS"
"3632","HORSES","CHEVAUX"
"3632","DOGS","CHIENS"
"3633","CATTLE","BOVINS"
"3637","CATTLE","BOVINS"
"3637","SWINE","PORCINS"
"3638","HORSES","CHEVAUX"
"3639","SWINE","PORCINS"
"3640","SWINE","PORCINS"
"3641","SWINE","PORCINS"
"3642","SWINE","PORCINS"
"3643","SWINE","PORCINS"
"3644","SWINE","PORCINS"
"3645","DOGS","CHIENS"
"3645","CATS","CHATS"
"3646","DOGS","CHIENS"
"3646","CATS","CHATS"
"3647","CATTLE","BOVINS"
"3648","HORSES","CHEVAUX"
"3649","CATTLE","BOVINS"
"3649","SWINE","PORCINS"
"3650","CATS","CHATS"
"3651","CATS","CHATS"
"3652","HORSES","CHEVAUX"
"4293","CATTLE","BOVINS"
"4293","SWINE","PORCINS"
"4294","HORSES","CHEVAUX"
"4826","DOGS","CHIENS"
"4826","CATS","CHATS"
"5320","CATS","CHATS"
"5321","DOGS","CHIENS"
"5322","POULTRY","VOLAILLE"
"5323","SWINE","PORCINS"
"5349","BEEF CATTLE","BOVINS DE BOUCHERIE"
"5349","SWINE","PORCINS"
"5349","NON-LACTATING DAIRY CATTLE","VACHES LAITIÈRES EN TARISSEMENT"
"5420","HORSES","CHEVAUX"
"5570","CATTLE","BOVINS"
"5570","SWINE","PORCINS"
"5570","SHEEP","MOUTONS"
"5650","CATS","CHATS"
"5650","DOGS","CHIENS"
"5764","SWINE","PORCINS"
"5764","HORSES","CHEVAUX"
"5764","CATTLE","BOVINS"
"5765","ATLANTIC SALMON","SAUMON DE L'ATLANTIQUE"
"5766","CATTLE","BOVINS"
"5766","LAMB","AGNEAUX"
"5767","SWINE","PORCINS"
"5767","CATTLE","BOVINS"
"5838","DOGS","CHIENS"
"5840","DOGS","CHIENS"
"5840","CATS","CHATS"
"5841","DOGS","CHIENS"
"5841","CATS","CHATS"
"5842","DOGS","CHIENS"
"5842","CATS","CHATS"
"5844","DOGS","CHIENS"
"5844","CATS","CHATS"
"5845","DOGS","CHIENS"
"5845","CATS","CHATS"
"5846","DOGS","CHIENS"
"5846","CATS","CHATS"
"5847","DOGS","CHIENS"
"5851","DOGS","CHIENS"
"5852","DOGS","CHIENS"
"5853","DOGS","CHIENS"
"5854","DOGS","CHIENS"
"5919","CATTLE","BOVINS"
"5920","DOGS","CHIENS"
"5920","CATTLE","BOVINS"
"5920","CATS","CHATS"
"5920","HORSES","CHEVAUX"
"5973","HEIFERS","GÉNISSES"
"6034","HORSES","CHEVAUX"
"6040","DAIRY CATTLE","VACHES LAITIÈRES"
"6041","DAIRY CATTLE","VACHES LAITIÈRES"
"6044","DAIRY CATTLE","VACHES LAITIÈRES"
"6045","CALVES","VEAUX"
